"id","familiar_reproducibility","crisis_agree","job","field"
449,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Chemistry"
451,"Very familiar","There is a slight crisis of reproducibility","Senior Scientist","Medicine"
452,"Very familiar","There is a significant crisis of reproducibility","Principal Investigator","Biology"
499,"Fairly familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
505,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
514,"Fairly familiar","I don't know","PhD Student","Materials Science"
515,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Physics"
517,"Very familiar","There is a significant crisis of reproducibility","Associate professor/Lecturer","Medicine"
527,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Chemistry"
529,"Fairly familiar","There is a significant crisis of reproducibility","Research Scientist","Engineering"
533,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
535,"Very familiar","There is a slight crisis of reproducibility","PhD Student","Chemistry"
543,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Chemistry"
546,"Very familiar","There is a slight crisis of reproducibility","Research Scientist","Biology"
549,"Fairly familiar","I don't know","Post-doctoral Fellow","Biology"
613,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Medicine"
625,"Fairly familiar","There is a slight crisis of reproducibility","PhD Student","Biology"
634,"Fairly familiar","There is a slight crisis of reproducibility","Research Scientist","Earth and Environmental Science"
666,"Fairly familiar","There is no crisis of reproducibility","Post-doctoral Fellow","Biology"
683,"Very familiar","I don't know","Senior Scientist","Earth and Environmental Science"
684,"Fairly familiar","There is a significant crisis of reproducibility","Research Scientist","Biology"
689,"Very familiar","There is a slight crisis of reproducibility","Research Director/VP of Research","Biology"
692,"Very familiar","There is a significant crisis of reproducibility","Associate professor/Lecturer","Other"
696,"Fairly familiar","There is a significant crisis of reproducibility","Professor","Biology"
701,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
702,"Very familiar","There is a significant crisis of reproducibility","Associate professor/Lecturer","Other"
717,"Very familiar","There is a significant crisis of reproducibility","Student","Engineering"
718,"Fairly familiar","There is a slight crisis of reproducibility","PhD Student","Materials Science"
722,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Biology"
742,"Very familiar","There is a significant crisis of reproducibility","Laboratory Director/Head","Biology"
744,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
746,"Somewhat familiar","I don't know","Post-doctoral Fellow","Biology"
750,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
751,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
754,"Very familiar","There is a significant crisis of reproducibility","Principal Investigator","Biology"
757,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Biology"
764,"Fairly familiar","There is a slight crisis of reproducibility","PhD Student","Materials Science"
766,"Very familiar","There is a slight crisis of reproducibility","Professor","Biology"
767,"Very familiar","There is a significant crisis of reproducibility","Professor","Biology"
768,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
769,"Very familiar","There is a significant crisis of reproducibility","Principal Investigator","Biology"
770,"Fairly familiar","There is a slight crisis of reproducibility","Associate professor/Lecturer","Biology"
772,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Biology"
773,"Fairly familiar","I don't know","Professor","Biology"
774,"Very familiar","There is a significant crisis of reproducibility","Research Scientist","Biology"
775,"Somewhat familiar","There is a slight crisis of reproducibility","Associate professor/Lecturer","Physics"
776,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Biology"
777,"Very familiar","There is a significant crisis of reproducibility","Student","Biology"
778,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Biology"
779,"Very familiar","There is a slight crisis of reproducibility","Professor","Biology"
783,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
784,"Very familiar","There is a slight crisis of reproducibility","PhD Student","Materials Science"
789,"Very familiar","There is a significant crisis of reproducibility","Professor","Chemistry"
795,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Medicine"
797,"Fairly familiar","There is a slight crisis of reproducibility","PhD Student","Physics"
800,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
801,"Very familiar","There is a slight crisis of reproducibility","PhD Student","Biology"
804,"Fairly familiar","There is a slight crisis of reproducibility","Professor","Physics"
807,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Engineering"
808,"Very familiar","There is a significant crisis of reproducibility","Principal Investigator","Other"
809,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
811,"Very familiar","I don't know","Post-doctoral Fellow","Biology"
812,"Fairly familiar","There is a slight crisis of reproducibility","Associate professor/Lecturer","Biology"
813,"Fairly familiar","There is a significant crisis of reproducibility","PhD Student","Other"
817,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Other"
825,"Very familiar","There is a slight crisis of reproducibility","PhD Student","Biology"
827,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
830,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Chemistry"
833,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
834,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Materials Science"
836,"Not very familiar","There is a slight crisis of reproducibility","PhD Student","Earth and Environmental Science"
839,"Very familiar","There is a significant crisis of reproducibility","Associate professor/Lecturer","Other"
841,"Fairly familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Biology"
842,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
843,"Very familiar","There is a significant crisis of reproducibility","Associate professor/Lecturer","Physics"
851,"Very familiar","There is a significant crisis of reproducibility","Principal Investigator","Biology"
853,"Very familiar","There is a slight crisis of reproducibility","PhD Student","Medicine"
914,"Fairly familiar","There is no crisis of reproducibility","Staff Scientist","Biology"
916,"Fairly familiar","There is a significant crisis of reproducibility","PhD Student","Medicine"
950,"Very familiar","There is a slight crisis of reproducibility","PhD Student","Biology"
952,"Very familiar","There is a significant crisis of reproducibility","Research Scientist","Chemistry"
954,"Very familiar","There is a significant crisis of reproducibility","Other (please specify)","Biology"
966,"Very familiar","There is a slight crisis of reproducibility","Other (please specify)","Medicine"
984,"Very familiar","There is a significant crisis of reproducibility","Research Scientist","Medicine"
985,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Engineering"
986,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
1004,"Very familiar","There is a significant crisis of reproducibility","Professor","Physics"
1006,"Very familiar","There is a significant crisis of reproducibility","Principal Investigator","Medicine"
1008,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Biology"
1015,"Very familiar","There is a significant crisis of reproducibility","Associate professor/Lecturer","Astronomy and planetary science"
1029,"Fairly familiar","There is a slight crisis of reproducibility","Senior Scientist","Biology"
1032,"Very familiar","There is no crisis of reproducibility","Professor","Biology"
1038,"Fairly familiar","There is a slight crisis of reproducibility","PhD Student","Biology"
1039,"Fairly familiar","There is a significant crisis of reproducibility","Principal Investigator","Biology"
1053,"Somewhat familiar","There is a slight crisis of reproducibility","PhD Student","Biology"
1055,"Somewhat familiar","There is a significant crisis of reproducibility","Other (please specify)","Engineering"
1057,"Very familiar","There is a significant crisis of reproducibility","Principal Investigator","Medicine"
1058,"Very familiar","There is a slight crisis of reproducibility","PhD Student","Biology"
1061,"Very familiar","There is a slight crisis of reproducibility","PhD Student","Other"
1067,"Very familiar","There is a slight crisis of reproducibility","PhD Student","Other"
1072,"Fairly familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Medicine"
1074,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
1076,"Fairly familiar","There is a slight crisis of reproducibility","Professor","Other"
1088,"Very familiar","I don't know","Technician/Research Assistant","Medicine"
1100,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Biology"
1102,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Chemistry"
1104,"Very familiar","There is no crisis of reproducibility","Professor","Chemistry"
1110,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Other"
1117,"Very familiar","There is a slight crisis of reproducibility","PhD Student","Biology"
1120,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Biology"
1125,"Fairly familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
1139,"Very familiar","There is a slight crisis of reproducibility","Staff Scientist","Biology"
1140,"Fairly familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Medicine"
1142,"Somewhat familiar","There is a significant crisis of reproducibility","Principal Investigator","Medicine"
1159,"Very familiar","There is a significant crisis of reproducibility","Associate professor/Lecturer","Medicine"
1163,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
1164,"Very familiar","There is no crisis of reproducibility","Principal Investigator","Biology"
1169,"Very familiar","There is a significant crisis of reproducibility","Consultant/Fellow/Attending Physician","Medicine"
1184,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Engineering"
1187,"Not very familiar","There is a significant crisis of reproducibility","Consultant/Fellow/Attending Physician","Medicine"
1219,"Very familiar","There is a significant crisis of reproducibility","Laboratory Director/Head","Other"
1223,"Very familiar","There is a significant crisis of reproducibility","Professor","Other"
1225,"Fairly familiar","There is a significant crisis of reproducibility","Research Scientist","Physics"
1229,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
1243,"Very familiar","There is a slight crisis of reproducibility","Associate professor/Lecturer","Other"
1293,"Very familiar","There is a significant crisis of reproducibility","Research Scientist","Biology"
1295,"Fairly familiar","I don't know","Principal Investigator","Earth and Environmental Science"
1299,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Earth and Environmental Science"
1300,"Somewhat familiar","There is a significant crisis of reproducibility","Research Scientist","Biology"
1307,"Very familiar","There is a slight crisis of reproducibility","Professor","Biology"
1308,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
1309,"Very familiar","There is a significant crisis of reproducibility","Principal Investigator","Biology"
1310,"Very familiar","There is a slight crisis of reproducibility","PhD Student","Medicine"
1339,"Very familiar","There is a significant crisis of reproducibility","Senior Scientist","Chemistry"
1340,"Very familiar","There is a significant crisis of reproducibility","Student","Biology"
1342,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
1351,"Fairly familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
1355,"Somewhat familiar","I don't know","PhD Student","Chemistry"
1365,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
1369,"Somewhat familiar","There is a slight crisis of reproducibility","Principal Investigator","Physics"
1379,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Earth and Environmental Science"
1380,"Very familiar","There is a slight crisis of reproducibility","PhD Student","Biology"
1394,"Very familiar","There is a significant crisis of reproducibility","Professor","Biology"
1400,"Fairly familiar","There is a slight crisis of reproducibility","PhD Student","Biology"
1410,"Very familiar","There is a significant crisis of reproducibility","Principal Investigator","Medicine"
1416,"Very familiar","There is a slight crisis of reproducibility","Research Scientist","Biology"
1417,"Fairly familiar","There is a significant crisis of reproducibility","PhD Student","Other"
1424,"Very familiar","There is a significant crisis of reproducibility","Staff Scientist","Physics"
1427,"Very familiar","There is a slight crisis of reproducibility","Associate professor/Lecturer","Other"
1428,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
1430,"Very familiar","There is a slight crisis of reproducibility","Professor","Earth and Environmental Science"
1439,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Physics"
1443,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
1448,"Very familiar","There is a slight crisis of reproducibility","Professor","Biology"
1456,"Very familiar","There is a significant crisis of reproducibility","Professor","Biology"
1457,"Very familiar","There is a significant crisis of reproducibility","Principal Investigator","Biology"
1458,"Very familiar","There is a slight crisis of reproducibility","Associate professor/Lecturer","Engineering"
1459,"Very familiar","There is a significant crisis of reproducibility","Associate professor/Lecturer","Astronomy and planetary science"
1462,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Other"
1469,"Fairly familiar","I don't know","Senior Scientist","Physics"
1475,"Very familiar","There is a significant crisis of reproducibility","Associate professor/Lecturer","Other"
1478,"Fairly familiar","There is a significant crisis of reproducibility","Research Director/VP of Research","Other"
1494,"Very familiar","There is a significant crisis of reproducibility","Research Director/VP of Research","Other"
1495,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Biology"
1501,"Very familiar","There is a significant crisis of reproducibility","Professor","Biology"
1502,"Very familiar","There is a significant crisis of reproducibility","Research Scientist","Earth and Environmental Science"
1505,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Biology"
1506,"Very familiar","There is a slight crisis of reproducibility","Associate professor/Lecturer","Biology"
1520,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Biology"
1523,"Very familiar","There is a significant crisis of reproducibility","Senior Scientist","Materials Science"
1525,"Very familiar","There is a significant crisis of reproducibility","Associate professor/Lecturer","Earth and Environmental Science"
1526,"Fairly familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
1531,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
1533,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
1535,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Medicine"
1548,"Very familiar","There is a significant crisis of reproducibility","Associate professor/Lecturer","Earth and Environmental Science"
1550,"Very familiar","There is a significant crisis of reproducibility","Principal Investigator","Biology"
1552,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Materials Science"
1554,"Fairly familiar","There is a significant crisis of reproducibility","PhD Student","Engineering"
1557,"Somewhat familiar","I don't know","Other (please specify)","Physics"
1558,"Very familiar","There is a slight crisis of reproducibility","Research Scientist","Medicine"
1559,"Not very familiar","There is a slight crisis of reproducibility","PhD Student","Biology"
1565,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Physics"
1567,"Very familiar","There is a slight crisis of reproducibility","Professor","Materials Science"
1568,"Fairly familiar","There is a slight crisis of reproducibility","PhD Student","Earth and Environmental Science"
1569,"Fairly familiar","There is a slight crisis of reproducibility","PhD Student","Earth and Environmental Science"
1570,"Very familiar","There is a slight crisis of reproducibility","Associate professor/Lecturer","Other"
1573,"Not very familiar","There is a slight crisis of reproducibility","PhD Student","Biology"
1576,"Very familiar","There is a significant crisis of reproducibility","Other (please specify)","Medicine"
1577,"Very familiar","I don't know","Principal Investigator","Earth and Environmental Science"
1579,"Very familiar","There is a slight crisis of reproducibility","PhD Student","Biology"
1584,"Very familiar","There is a slight crisis of reproducibility","PhD Student","Medicine"
1600,"Very familiar","I don't know","Professor","Other"
1604,"Fairly familiar","There is a significant crisis of reproducibility","PhD Student","Medicine"
1605,"Very familiar","There is a slight crisis of reproducibility","Research Scientist","Biology"
1607,"Very familiar","There is a significant crisis of reproducibility","Research Scientist","Other"
1616,"Very familiar","There is a slight crisis of reproducibility","Research Scientist","Biology"
1620,"Very familiar","There is no crisis of reproducibility","Professor","Physics"
1627,"Fairly familiar","There is a slight crisis of reproducibility","PhD Student","Biology"
1629,"Very familiar","I don't know","PhD Student","Other"
1631,"Very familiar","There is a significant crisis of reproducibility","Professor","Biology"
1640,"Very familiar","I don't know","PhD Student","Materials Science"
1646,"Fairly familiar","There is a significant crisis of reproducibility","Professor","Biology"
1649,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Chemistry"
1651,"Very familiar","There is a slight crisis of reproducibility","Principal Investigator","Biology"
1662,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Chemistry"
1664,"Very familiar","There is a slight crisis of reproducibility","Professor","Materials Science"
1665,"Very familiar","There is a slight crisis of reproducibility","PhD Student","Engineering"
1667,"Very familiar","There is a significant crisis of reproducibility","Other (please specify)","Astronomy and planetary science"
1674,"Very familiar","There is a slight crisis of reproducibility","Associate professor/Lecturer","Chemistry"
1675,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
1676,"Fairly familiar","There is a slight crisis of reproducibility","Associate professor/Lecturer","Biology"
1688,"Very familiar","There is a slight crisis of reproducibility","PhD Student","Biology"
1689,"Very familiar","There is a significant crisis of reproducibility","Principal Investigator","Biology"
1694,"Very familiar","There is a slight crisis of reproducibility","PhD Student","Physics"
1697,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Chemistry"
1700,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
1713,"Fairly familiar","There is a significant crisis of reproducibility","PhD Student","Materials Science"
1714,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
1716,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Earth and Environmental Science"
1717,"Very familiar","There is a significant crisis of reproducibility","Senior Scientist","Biology"
1718,"Fairly familiar","There is a significant crisis of reproducibility","Associate professor/Lecturer","Medicine"
1723,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Medicine"
1729,"Very familiar","There is a slight crisis of reproducibility","Research Scientist","Materials Science"
1730,"Fairly familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
1732,"Very familiar","There is a slight crisis of reproducibility","Associate professor/Lecturer","Chemistry"
1737,"Somewhat familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
1742,"Very familiar","There is a significant crisis of reproducibility","Principal Investigator","Biology"
1743,"Very familiar","There is a significant crisis of reproducibility","Research Scientist","Biology"
1747,"Very familiar","There is a slight crisis of reproducibility","Senior Scientist","Biology"
1751,"Fairly familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Other"
1752,"Somewhat familiar","There is a slight crisis of reproducibility","Associate professor/Lecturer","Materials Science"
1755,"Somewhat familiar","There is a slight crisis of reproducibility","Principal Investigator","Other"
1760,"Very familiar","I don't know","Research Director/VP of Research","Other"
1773,"Very familiar","There is a significant crisis of reproducibility","Consultant/Fellow/Attending Physician","Chemistry"
1774,"Very familiar","There is a slight crisis of reproducibility","PhD Student","Other"
1777,"Fairly familiar","There is a significant crisis of reproducibility","Principal Investigator","Biology"
1782,"Somewhat familiar","There is a slight crisis of reproducibility","Professor","Chemistry"
1783,"Fairly familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Medicine"
1791,"Fairly familiar","There is a slight crisis of reproducibility","PhD Student","Chemistry"
1799,"Very familiar","There is a slight crisis of reproducibility","Laboratory Director/Head","Biology"
1800,"Somewhat familiar","There is a significant crisis of reproducibility","PhD Student","Other"
1801,"Very familiar","There is a significant crisis of reproducibility","Professor","Biology"
1808,"Very familiar","There is a slight crisis of reproducibility","Principal Investigator","Biology"
1809,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Chemistry"
1812,"Very familiar","There is a significant crisis of reproducibility","Associate professor/Lecturer","Other"
1815,"Very familiar","There is a significant crisis of reproducibility","Research Scientist","Biology"
1818,"Fairly familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
1820,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Biology"
1822,"Very familiar","There is a significant crisis of reproducibility","Associate professor/Lecturer","Biology"
1823,"Fairly familiar","There is a significant crisis of reproducibility","Other (please specify)","Medicine"
1837,"Somewhat familiar","There is a significant crisis of reproducibility","Associate professor/Lecturer","Other"
1840,"Somewhat familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
1842,"Very familiar","There is a slight crisis of reproducibility","Research Director/VP of Research","Biology"
1843,"Very familiar","There is a slight crisis of reproducibility","Student","Biology"
1844,"Fairly familiar","There is a slight crisis of reproducibility","PhD Student","Medicine"
1851,"Very familiar","There is a slight crisis of reproducibility","Other (please specify)","Other"
1881,"Very familiar","There is a significant crisis of reproducibility","Professor","Chemistry"
1888,"Very familiar","There is a significant crisis of reproducibility","Associate professor/Lecturer","Biology"
1890,"Fairly familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
1910,"Very familiar","There is a slight crisis of reproducibility","Laboratory Director/Head","Earth and Environmental Science"
1911,"Very familiar","I don't know","Student","Biology"
1917,"Very familiar","There is a significant crisis of reproducibility","Professor","Medicine"
1931,"Somewhat familiar","I don't know","PhD Student","Materials Science"
1934,"Fairly familiar","There is a significant crisis of reproducibility","Other (please specify)","Other"
1937,"Somewhat familiar","There is a slight crisis of reproducibility","Associate professor/Lecturer","Earth and Environmental Science"
1938,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Medicine"
1949,"Very familiar","There is a significant crisis of reproducibility","Technician/Research Assistant","Biology"
1951,"Somewhat familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
1954,"Very familiar","There is a significant crisis of reproducibility","Senior Scientist","Biology"
1958,"Somewhat familiar","There is a slight crisis of reproducibility","PhD Student","Biology"
1960,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Biology"
1961,"Very familiar","There is a slight crisis of reproducibility","Principal Investigator","Biology"
1969,"Fairly familiar","There is a slight crisis of reproducibility","Research Scientist","Materials Science"
1972,"Very familiar","There is a slight crisis of reproducibility","Professor","Biology"
1975,"Very familiar","There is a significant crisis of reproducibility","Research Scientist","Other"
1976,"Fairly familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Other"
1981,"Very familiar","There is a significant crisis of reproducibility","Associate professor/Lecturer","Biology"
1982,"Very familiar","There is a significant crisis of reproducibility","Senior Scientist","Biology"
1986,"Somewhat familiar","There is no crisis of reproducibility","Student","Biology"
1989,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Physics"
1992,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
1993,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Biology"
2004,"Fairly familiar","There is a significant crisis of reproducibility","Senior Scientist","Medicine"
2007,"Very familiar","There is a slight crisis of reproducibility","PhD Student","Biology"
2009,"Fairly familiar","There is a significant crisis of reproducibility","Associate professor/Lecturer","Other"
2011,"Fairly familiar","There is a slight crisis of reproducibility","Medical Professional/Doctor","Medicine"
2021,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Other"
2042,"Fairly familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Biology"
2050,"Very familiar","There is a significant crisis of reproducibility","Professor","Other"
2054,"Very familiar","There is a slight crisis of reproducibility","Technician/Research Assistant","Chemistry"
2055,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Astronomy and planetary science"
2058,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Biology"
2062,"Fairly familiar","There is a slight crisis of reproducibility","Associate professor/Lecturer","Biology"
2084,"Very familiar","There is a slight crisis of reproducibility","Principal Investigator","Medicine"
2089,"Very familiar","There is a significant crisis of reproducibility","Research Scientist","Biology"
2093,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Medicine"
2097,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Medicine"
2104,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
2108,"Very familiar","There is a significant crisis of reproducibility","Associate professor/Lecturer","Medicine"
2118,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
2119,"Very familiar","There is a significant crisis of reproducibility","Research Scientist","Earth and Environmental Science"
2132,"Very familiar","There is a significant crisis of reproducibility","Professor","Earth and Environmental Science"
2134,"Fairly familiar","There is a slight crisis of reproducibility","Medical Professional/Doctor","Medicine"
2139,"Fairly familiar","There is a slight crisis of reproducibility","Principal Investigator","Medicine"
2154,"Fairly familiar","There is a slight crisis of reproducibility","Laboratory Director/Head","Biology"
2155,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Other"
2177,"Very familiar","There is a significant crisis of reproducibility","Associate professor/Lecturer","Biology"
2178,"Very familiar","I don't know","Medical Professional/Doctor","Medicine"
2187,"Very familiar","There is a slight crisis of reproducibility","Associate professor/Lecturer","Medicine"
2190,"Very familiar","There is a significant crisis of reproducibility","Principal Investigator","Biology"
2196,"Very familiar","There is a significant crisis of reproducibility","Medical Professional/Doctor","Medicine"
2198,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Medicine"
2207,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Chemistry"
2219,"Fairly familiar","There is a significant crisis of reproducibility","Other (please specify)","Biology"
2221,"Fairly familiar","There is no crisis of reproducibility","Research Scientist","Medicine"
2222,"Fairly familiar","There is a significant crisis of reproducibility","Professor","Other"
2232,"Very familiar","There is a significant crisis of reproducibility","Research Scientist","Biology"
2234,"Very familiar","There is a significant crisis of reproducibility","Professor","Medicine"
2240,"Very familiar","There is a slight crisis of reproducibility","Senior Scientist","Biology"
2241,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
2247,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
2249,"Very familiar","There is a significant crisis of reproducibility","Associate professor/Lecturer","Biology"
2250,"Very familiar","There is a slight crisis of reproducibility","Laboratory Director/Head","Chemistry"
2257,"Very familiar","There is a slight crisis of reproducibility","PhD Student","Biology"
2283,"Not very familiar","There is a significant crisis of reproducibility","Principal Investigator","Chemistry"
2285,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
2287,"Very familiar","There is a slight crisis of reproducibility","PhD Student","Engineering"
2288,"Somewhat familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
2293,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
