responseid	respid	interview_start	interview_end	status	In your current role do you carry out primary research?	published_yesNPG	published_yesnonNPG	published_no	published_nosay	familiar_reproducibility	crisis_yesMedia	crisis_yesJournals	crisis_yesConferences	ciris_yesColleagues	crisis_yesElsewhere	crisis_no	significance_crisis	flagged	proportion_reproducible	field_reproducibility	try_failOwn	try_failElse	published_successElse	published_failElse	nopublish_success	noprublish_fail	job	field
188	188	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	1	1	0	1	1	0	There is a significant crisis of reproducibility	A reasonable amount	40%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology
190	190	08/10/2015	08/10/2015	complete	Yes	1	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	Too much	80%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	Principal Investigator	Biology
196	196	08/10/2015	08/10/2015	complete	Yes	0	0	1	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	70%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Student	Medicine
202	202	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	10%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Biology
203	203	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	90%	"...better than for other scientific fields on average."""	No	Yes	No	No	No	No	Post-doctoral Fellow	Materials Science
220	220	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	Too much	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	No	No	Post-doctoral Fellow	Biology
226	226	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	1	1	0	0	There is no crisis of reproducibility	Too much	30%	"...about the same as for other scientific fields on average"""	I can't remember	I can't remember	I can't remember	I can't remember	I can't remember	I can't remember	Associate professor/Lecturer	Other
227	227	08/10/2015	08/10/2015	complete	Yes	1	0	0	0	Not very familiar	0	0	1	0	0	0	There is a slight crisis of reproducibility	Too much	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Research Scientist	Biology
246	246	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Other
277	277	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	20%	"...worse than for other scientific fields on average."""	I can't remember	Yes	No	Yes	Yes	Yes	PhD Student	Biology
341	341	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Somewhat familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Biology
344	344	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	90%	"...better than for other scientific fields on average."""	I can't remember	No	No	No	No	No	Research Scientist	Physics
357	357	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...better than for other scientific fields on average."""	I can't remember	No	No	No	No	No	Associate professor/Lecturer	Engineering
361	361	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	0	1	1	0	0	There is a slight crisis of reproducibility	Too much	70%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	PhD Student	Other
370	370	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	1	0	There is a significant crisis of reproducibility	Not enough	70%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Biology
373	373	08/10/2015	08/10/2015	complete	Yes	0	0	1	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Student	Other
386	386	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	Yes	Yes	I can't remember	Laboratory Director/Head	Other
448	448	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	1	0	0	0	1	0	There is a significant crisis of reproducibility	Not enough	20%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Chemistry
449	449	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Chemistry
451	451	08/10/2015	08/10/2015	complete	Yes	1	1	0	0	Very familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	Yes	Yes	Senior Scientist	Medicine
452	452	08/10/2015	08/10/2015	complete	Yes	1	0	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	I am unsure	No	Yes	Yes	No	No	No	Principal Investigator	Biology
499	499	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology
505	505	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	40%	"...worse than for other scientific fields on average."""	No	Yes	No	Yes	No	No	Post-doctoral Fellow	Biology
514	514	08/10/2015	08/10/2015	complete	Yes	0	0	1	0	Fairly familiar	1	0	0	0	0	0	I don't know	Not enough	80%	"...worse than for other scientific fields on average."""	Yes	No	No	No	No	No	PhD Student	Materials Science
515	515	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	Not enough	80%	I am unsure	Yes	No	No	No	No	No	Post-doctoral Fellow	Physics
517	517	08/10/2015	08/10/2015	complete	Yes	1	0	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	20%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	Yes	Yes	Associate professor/Lecturer	Medicine
527	527	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Too much	10%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Chemistry
529	529	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Research Scientist	Engineering
533	533	08/10/2015	08/10/2015	complete	Yes	1	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	10%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	Yes	No	No	Post-doctoral Fellow	Biology
535	535	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	90%	"...better than for other scientific fields on average."""	No	Yes	No	No	No	No	PhD Student	Chemistry
543	543	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	0	0	0	There is a significant crisis of reproducibility	Too much	90%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Post-doctoral Fellow	Chemistry
546	546	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	Not enough	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	Yes	No	Research Scientist	Biology
549	549	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	I don't know	I am unsure	70%	"...better than for other scientific fields on average."""	No	Yes	No	No	No	No	Post-doctoral Fellow	Biology
613	613	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Medicine
625	625	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Biology
634	634	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Research Scientist	Earth and Environmental Science
666	666	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is no crisis of reproducibility	Too much	70%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology
683	683	08/10/2015	08/10/2015	complete	Yes	0	0	1	0	Very familiar	0	0	0	0	0	1	I don't know	I am unsure	80%	I am unsure	No	Yes	Yes	No	Yes	No	Senior Scientist	Earth and Environmental Science
684	684	08/10/2015	08/10/2015	complete	Yes	1	0	0	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	30%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	Yes	No	No	Research Scientist	Biology
689	689	08/10/2015	08/10/2015	complete	Yes	1	0	0	0	Very familiar	0	1	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Research Director/VP of Research	Biology
692	692	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	30%	"...worse than for other scientific fields on average."""	Yes	Yes	No	Yes	No	No	Associate professor/Lecturer	Other
696	696	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...about the same as for other scientific fields on average"""	Yes	I can't remember	Yes	No	I can't remember	No	Professor	Biology
701	701	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology
702	702	08/10/2015	08/10/2015	complete	Yes	1	0	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	Yes	Yes	No	Yes	Yes	Yes	Associate professor/Lecturer	Other
717	717	08/10/2015	08/10/2015	complete	Yes	0	0	1	0	Very familiar	0	0	0	1	1	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...worse than for other scientific fields on average."""	Yes	No	No	No	No	No	Student	Engineering
718	718	08/10/2015	08/10/2015	complete	Yes	1	0	0	0	Fairly familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	Too much	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	Yes	No	PhD Student	Materials Science
722	722	08/10/2015	08/10/2015	complete	Yes	1	0	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Post-doctoral Fellow	Biology
742	742	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Too much	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	Yes	No	Laboratory Director/Head	Biology
744	744	08/10/2015	08/10/2015	complete	Yes	1	0	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology
746	746	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Somewhat familiar	1	0	0	0	0	0	I don't know	Not enough	80%	I am unsure	No	No	No	No	No	No	Post-doctoral Fellow	Biology
750	750	08/10/2015	08/10/2015	complete	Yes	0	0	1	0	Very familiar	0	0	0	0	1	0	There is a significant crisis of reproducibility	A reasonable amount	90%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Biology
751	751	08/10/2015	08/10/2015	complete	Yes	1	0	0	0	Very familiar	1	0	0	0	0	0	There is a significant crisis of reproducibility	Too much	40%	I am unsure	No	Yes	No	No	No	No	PhD Student	Biology
754	754	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	No	No	Principal Investigator	Biology
757	757	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	Too much	70%	I am unsure	Yes	Yes	Yes	Yes	I can't remember	I can't remember	Post-doctoral Fellow	Biology
764	764	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	Not enough	80%	"...about the same as for other scientific fields on average"""	I can't remember	Yes	No	No	No	No	PhD Student	Materials Science
766	766	08/10/2015	08/10/2015	complete	Yes	1	0	0	0	Very familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	90%	"...about the same as for other scientific fields on average"""	Yes	No	No	No	Yes	No	Professor	Biology
767	767	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	Yes	Yes	Professor	Biology
768	768	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology
769	769	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	70%	I am unsure	Yes	Yes	No	No	No	No	Principal Investigator	Biology
770	770	08/10/2015	08/10/2015	complete	Yes	1	0	0	0	Fairly familiar	1	0	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Associate professor/Lecturer	Biology
772	772	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Too much	30%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology
773	773	08/10/2015	08/10/2015	complete	Yes	1	0	0	0	Fairly familiar	0	0	0	0	0	1	I don't know	I am unsure	80%	"...better than for other scientific fields on average."""	Yes	No	Yes	No	No	No	Professor	Biology
774	774	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	40%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Research Scientist	Biology
775	775	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Somewhat familiar	1	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	90%	"...better than for other scientific fields on average."""	No	Yes	No	No	No	No	Associate professor/Lecturer	Physics
776	776	08/10/2015	08/10/2015	complete	Yes	1	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...better than for other scientific fields on average."""	No	Yes	No	No	I can't remember	I can't remember	Post-doctoral Fellow	Biology
777	777	08/10/2015	08/10/2015	complete	Yes	0	0	1	0	Very familiar	1	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	50%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	Yes	Yes	Student	Biology
778	778	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	Too much	90%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Post-doctoral Fellow	Biology
779	779	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	I can't remember	Yes	I can't remember	I can't remember	I can't remember	I can't remember	Professor	Biology
783	783	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	"...better than for other scientific fields on average."""	No	No	No	No	No	No	Post-doctoral Fellow	Biology
784	784	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	PhD Student	Materials Science
789	789	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	I am unsure	70%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Professor	Chemistry
795	795	08/10/2015	08/10/2015	complete	Yes	0	0	1	0	Very familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	10%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Medicine
797	797	08/10/2015	08/10/2015	complete	Yes	0	0	1	0	Fairly familiar	1	0	0	0	0	0	There is a slight crisis of reproducibility	Not enough	90%	"...better than for other scientific fields on average."""	No	No	Yes	No	No	No	PhD Student	Physics
800	800	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	50%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology
801	801	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	PhD Student	Biology
804	804	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	1	0	0	0	There is a slight crisis of reproducibility	Not enough	80%	"...about the same as for other scientific fields on average"""	No	No	Yes	No	No	No	Professor	Physics
807	807	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...better than for other scientific fields on average."""	No	Yes	Yes	No	No	No	Post-doctoral Fellow	Engineering
808	808	08/10/2015	08/10/2015	complete	Yes	0	0	0	1	Very familiar	1	0	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	0%	"...worse than for other scientific fields on average."""	No	No	No	No	No	No	Principal Investigator	Other
809	809	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	30%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	Post-doctoral Fellow	Biology
811	811	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	0	0	1	I don't know	I am unsure	80%	I am unsure	No	Yes	No	No	No	No	Post-doctoral Fellow	Biology
812	812	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	50%	"...better than for other scientific fields on average."""	Yes	No	No	No	No	No	Associate professor/Lecturer	Biology
813	813	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	I am unsure	50%	I am unsure	Yes	Yes	No	No	No	No	PhD Student	Other
817	817	08/10/2015	08/10/2015	complete	Yes	0	0	1	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	Yes	Yes	No	Yes	Yes	I can't remember	PhD Student	Other
825	825	08/10/2015	08/10/2015	complete	Yes	0	0	1	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	90%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Biology
827	827	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Biology
830	830	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	1	0	0	There is a slight crisis of reproducibility	Not enough	60%	"...worse than for other scientific fields on average."""	Yes	Yes	No	Yes	No	No	Post-doctoral Fellow	Chemistry
833	833	08/10/2015	08/10/2015	complete	Yes	0	0	1	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	60%	I am unsure	No	No	Yes	No	No	Yes	PhD Student	Biology
834	834	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	80%	"...about the same as for other scientific fields on average"""	No	No	No	No	Yes	No	Post-doctoral Fellow	Materials Science
836	836	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Not very familiar	0	1	1	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	50%	"...better than for other scientific fields on average."""	No	No	Yes	No	No	No	PhD Student	Earth and Environmental Science
839	839	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Associate professor/Lecturer	Other
841	841	08/10/2015	08/10/2015	complete	Yes	1	0	0	0	Fairly familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	50%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology
842	842	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	PhD Student	Biology
843	843	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Associate professor/Lecturer	Physics
851	851	08/10/2015	08/10/2015	complete	Yes	1	1	0	0	Very familiar	1	1	1	1	1	0	There is a significant crisis of reproducibility	Not enough	20%	I am unsure	Yes	Yes	No	No	No	Yes	Principal Investigator	Biology
853	853	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	30%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Medicine
914	914	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	0	0	0	1	There is no crisis of reproducibility	I am unsure	80%	"...better than for other scientific fields on average."""	No	No	No	No	No	No	Staff Scientist	Biology
916	916	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...better than for other scientific fields on average."""	No	No	Yes	No	No	No	PhD Student	Medicine
950	950	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	I am unsure	Yes	No	No	No	No	No	PhD Student	Biology
952	952	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Too much	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	Yes	Research Scientist	Chemistry
954	954	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	Yes	Yes	Other (please specify)	Biology
966	966	08/10/2015	08/10/2015	complete	Yes	0	0	1	0	Very familiar	1	0	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Other (please specify)	Medicine
984	984	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	0	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	Yes	No	No	Research Scientist	Medicine
